,smallcell vs. smallcell,smallcell vs. largecell,largecell vs. smallcell,largecell vs. largecell
315,0.978266370960713,2.224040646656004,2.035051794659001,1.0359506205738893e-16
316,0.9783916532937561,2.2160622533091647,2.0300634665359047,1.5995825086370025e-16
317,0.9785198550412458,2.2076404625756494,2.0252163764042486,3.0460572014313976e-16
318,0.9786495339053436,2.198857555452587,2.0205775210931525,6.45909483259686e-16
319,0.9787797748896835,2.1898127293928247,2.0161424052737527,1.6218459361254068e-15
320,0.9789105264709369,2.1805418403726886,2.01188050563414,3.661623446271663e-15
321,0.9790424125504779,2.1710447139413116,2.0077274228330326,8.206474452277583e-15
322,0.9791768273670487,2.16129085652383,2.0035693467354325,1.868417104409636e-14
323,0.9793154001406406,2.1512448918226568,1.9992730293698404,4.214945516686406e-14
324,0.9794601430149215,2.1408414518875807,1.994695581816841,9.269473628333939e-14
325,0.9796138741785966,2.1299743424073094,1.9896515158567412,2.054452616878608e-13
326,0.9797790095540859,2.118558818145856,1.983975528755039,4.549168096054404e-13
327,0.9799573144930858,2.106534890611668,1.9775448951027432,9.846437103206386e-13
328,0.9801505644381688,2.0938384799571264,1.9702399364412024,2.076833161137332e-12
329,0.9803614109147321,2.0803675039762872,1.961888302097719,4.4527761473212036e-12
330,0.9805896302308119,2.0661470408516904,1.95248806600799,9.421949615733283e-12
331,0.9808349136847025,2.051204543081483,1.9420437263004193,1.9486037950813876e-11
332,0.9810965988796858,2.0355839787697425,1.9305798729312058,3.942524483401126e-11
333,0.9813741535684509,2.0193304452158287,1.9181064961975445,8.132810628189222e-11
334,0.981663812514197,2.002621791474083,1.90483544905377,1.643089190180804e-10
335,0.9819626383844781,1.9856029059095135,1.890925857042695,3.247559291393832e-10
336,0.9822672551079344,1.9684406020912664,1.8765603299802032,6.344037775068367e-10
337,0.9825733788967447,1.951343646789998,1.861973473133691,1.2488098188532044e-09
338,0.9828765866321414,1.9345114961877512,1.8474236231111263,2.4094880096378096e-09
339,0.9831728668105875,1.918129934420532,1.8331401863884682,4.552881046582182e-09
